Teams,Wins,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
DUFU ,12,131.68,123.56,89.82,117.26,132.14,137.7,99.18,127.8,167.14,159.52,145.32,123.32,95.88
 TM9 ,10,110.96,113.12,112.54,80.18,123.2,117.4,98.4,72.04,85.52,146.4,115.42,109.14,73.14
LINE ,9,86.44,124,93.2,107.76,90.3,109,98.26,135.56,94.78,96.22,89.58,79.74,115.84
STUD ,8,104.36,121.6,105.54,108.28,128.04,138.62,87.14,111.9,75.1,135,103.8,111.88,102.04
MADD ,8,109.04,97.24,110.96,109,89.62,113.68,91.72,124.62,108.9,101.26,119.72,109.98,79.8
HOOS ,6,141.62,83.14,94.74,88.6,47.9,73.58,96.32,77.5,94,70.94,77,83.76,72.5
JB18 ,6,95.64,84.4,102.7,90.5,104.9,86.78,67.16,124.46,72.02,40.8,40.42,85.4,36.56
OTOL ,5,87.9,81.98,118.2,94.2,113.8,77.12,87.74,76.6,65.92,92.92,126.64,94.46,115.36
  NO ,5,61.8,69.96,37.76,79.12,91.04,83.72,63,96.04,97.8,86.64,64.54,81.74,73.14
NICH ,4,71.3,86.18,61.22,71.96,74.9,69.96,49.8,66.08,67.5,120.52,127.16,88.08,73.34
BROK ,3,84.76,84.76,76.16,46.74,122.9,89.04,88.14,79.46,66.2,81.7,79.28,68.64,66.72
 LOL ,2,77.74,78.64,55.6,103.22,53.58,64.1,52.38,68.54,99.26,78.56,85.28,82.42,61.52
